Source, SourceLong, SourceLat, Destination, DestLong, DestLat, Driving Distance (m), Driving Time (s)
BAY PATH UNIVERSITY,-72.584,42.0554,DR SOLOMON CARTER FULLER MENTAL HEALTH CENTER,-71.0707,42.3363,150050,6952
BAY PATH UNIVERSITY,-72.584,42.0554,ARBOUR FULLER HOSPITAL,-71.3611,41.9241,151279,7210
BAY PATH UNIVERSITY,-72.584,42.0554,ARBOUR HUMAN RESOURCE INSTITUTE,-71.1212,42.3508,144194,6695.8
BAY PATH UNIVERSITY,-72.584,42.0554,SHRINERS' HOSPITAL FOR CHILDREN,-71.0663,42.3631,150159,6944.7
BAY PATH UNIVERSITY,-72.584,42.0554,SPAULDING REHABILITATION HOSPITAL,-71.0491,42.3785,152238,7127.3
BAY PATH UNIVERSITY,-72.584,42.0554,DR JOHN C CORRIGAN MENTAL HEALTH CENTER,-71.1457,41.7075,197974,8978.9
BAY PATH UNIVERSITY,-72.584,42.0554,BAY RIDGE HOSPITAL BEVERLY,-70.9568,42.4716,165942,7919.1
BAY PATH UNIVERSITY,-72.584,42.0554,HEALTHSOUTH REHABILITATION HOSPITAL OF WESTERN MASS,-72.4721,42.1558,20073.2,1209.3
BAY PATH UNIVERSITY,-72.584,42.0554,BETH ISRAEL DEACONESS HOSPITAL - NEEDHAM,-71.2369,42.2771,140859,6551.8
BAY PATH UNIVERSITY,-72.584,42.0554,VIBRA HOSPITAL OF SOUTHWESTERN MASSACHUSETTS,-70.9458,41.7407,196116,8974.5
BAY PATH UNIVERSITY,-72.584,42.0554,NORWOOD HOSPITAL,-71.2021,42.189,152727,7210.9
BAY PATH UNIVERSITY,-72.584,42.0554,SPAULDING REHABILITATION HOSPITAL CAPE COD,-70.4681,41.733,229306,10515.2
BAY PATH UNIVERSITY,-72.584,42.0554,CAMBRIDGE HEALTH ALLIANCE - SOMERVILLE CAMPUS,-71.1094,42.39,148990,7011.8
