Source, SourceLong, SourceLat, Destination, DestLong, DestLat, Driving Distance (m), Driving Time (s)
Alexander Academy,-71.7689,42.5874,BIDMC East,-71.1049,42.3398,72730.4,4184.4
Alexander Academy,-71.7689,42.5874,St. Elizabeth's Medical Center,-71.1475,42.3485,71206.2,4072.8
Alexander Academy,-71.7689,42.5874,Tufts Medical Center,-71.0634,42.3496,76244.9,4319.4
Alexander Academy,-71.7689,42.5874,Marlborough Hospital,-71.5515,42.3548,37496.3,2553.8
Alexander Academy,-71.7689,42.5874,Massachusetts Eye and Ear Infirmary,-71.0702,42.3627,74647.5,4229.4
Alexander Academy,-71.7689,42.5874,Shriners Boston,-71.0665,42.3632,74813.6,4238.8
Alexander Academy,-71.7689,42.5874,Massachusetts General Hospital,-71.0687,42.3629,74560.5,4220.3
Alexander Academy,-71.7689,42.5874,Mount Auburn Hospital,-71.1342,42.3741,67276.6,3803.9
Alexander Academy,-71.7689,42.5874,Cambridge Hospital,-71.1048,42.3752,69107,3981.5
Alexander Academy,-71.7689,42.5874,Everett Hospital,-71.0395,42.4093,75970.3,4315.9
Alexander Academy,-71.7689,42.5874,Lawrence Memorial Hospital of Medford,-71.1117,42.4262,67893.4,4008.8
Alexander Academy,-71.7689,42.5874,Emerson Hospital,-71.375,42.4519,43104.3,2528.3
Alexander Academy,-71.7689,42.5874,Melrose-Wakefield Hospital,-71.0611,42.46,75954.3,4416.3
Alexander Academy,-71.7689,42.5874,Winchester Hospital,-71.1227,42.4659,68639.1,4070.8
Alexander Academy,-71.7689,42.5874,Berkshire Medical Center,-73.2493,42.4601,161911,9805.5
Alexander Academy,-71.7689,42.5874,Union Hospital,-70.9796,42.5011,83277.9,4774.3
Alexander Academy,-71.7689,42.5874,Salem Hospital,-70.9052,42.5112,90926.2,5294.8
Alexander Academy,-71.7689,42.5874,Lahey Medical Center,-70.9471,42.5373,86810.4,4896.2
Alexander Academy,-71.7689,42.5874,HealthAlliance Hospital - Leominster Campus,-71.7631,42.5403,7046.8,656.3
Alexander Academy,-71.7689,42.5874,Nashoba Valley Medical Center,-71.5889,42.5628,17467.8,1245.4
Alexander Academy,-71.7689,42.5874,Heywood Memorial Hospital,-71.9875,42.5869,25680.5,1633.6
Alexander Academy,-71.7689,42.5874,Athol Hospital,-72.2087,42.5852,43240.2,2488.4
Alexander Academy,-71.7689,42.5874,Baystate Franklin Medical Center,-72.5929,42.5953,82614.6,4689.3
Alexander Academy,-71.7689,42.5874,Addison Gilbert Hospital,-70.6819,42.6247,113388,6239.5
Alexander Academy,-71.7689,42.5874,Lowell General Hospital - Saints Campus,-71.3001,42.6454,53997.8,2988.9
Alexander Academy,-71.7689,42.5874,Lowell General Hospital,-71.3422,42.6478,53613.5,3055.8
Alexander Academy,-71.7689,42.5874,Nantucket Cottage Hospital,-70.101,41.275,238680,17819.7
Alexander Academy,-71.7689,42.5874,Martha's Vineyard Hospital,-70.58,41.4597,199789,12053.6
Alexander Academy,-71.7689,42.5874,Falmouth Hospital,-70.622,41.5639,177846,8640.4
Alexander Academy,-71.7689,42.5874,St. Luke's Hospital,-70.938,41.6267,151562,7354.9
Alexander Academy,-71.7689,42.5874,Cape Cod Hospital,-70.2733,41.6538,190452,9424.1
Alexander Academy,-71.7689,42.5874,Saint Anne's Hospital,-71.1635,41.6924,141246,6904.3
Alexander Academy,-71.7689,42.5874,Charlton Memorial Hospital,-71.1461,41.7094,139979,6889.5
Alexander Academy,-71.7689,42.5874,Tobey Hospital,-70.7145,41.7557,143679,7013.8
Alexander Academy,-71.7689,42.5874,Morton Hospital,-71.0952,41.9063,107837,5607.2
Alexander Academy,-71.7689,42.5874,Sturdy Memorial Hospital,-71.2752,41.9419,94063.3,5088.3
